Souvenier_Name,Souvenier_Description,Category,City,Region,Country,Owner,Longitude,Latitude,Price,Weight,DateObtained
Grizzly Bear Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-105.688103,40.343182,7.5,12,2019-02-15T00:00:00.0000000
Snowy Mountain Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-105.688103,40.343182,9.99,20,2019-02-17T00:00:00.0000000
Lobster Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-82,38,12.99,16,2019-03-05T00:00:00.0000000
Sea Lion Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-153.433334,57.466667,10.25,16,2019-04-18T00:00:00.0000000
Coral Reef Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-169.523895,16.736944,6.91,20,2019-05-07T00:00:00.0000000
Ocean Life Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-171.733337,25.700001,8.99,12,2019-06-15T00:00:00.0000000
Landscape Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-91.504852,38.865097,9.75,16,2019-07-21T00:00:00.0000000
Bird Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-119.930984,39.198364,13.25,24,2019-08-01T00:00:00.0000000
Dunes Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-106.171669,32.77972,11.4,20,2019-09-15T00:00:00.0000000
Skier Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-110.821999,43.582767,19.99,12,2019-10-15T00:00:00.0000000
Desert Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-115.510399,35.141689,14.25,16,2019-11-09T00:00:00.0000000
Mountain City Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-105.688103,40.343182,12.99,20,2019-11-27T00:00:00.0000000
Joshua Tree Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-115.90065,33.881866,12.5,12,2019-12-04T00:00:00.0000000
River View Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-92.757652,35.985512,11.99,20,2020-01-15T00:00:00.0000000
Hot Springs Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-93.042267,34.52153,10.75,16,2020-02-13T00:00:00.0000000
Cave Bat Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-110.347382,31.837551,10.99,12,2020-03-15T00:00:00.0000000
Cowboy Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-110.821999,43.582767,15,12,2021-01-11T00:00:00.0000000
Buffalo Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-92.757652,35.985512,12.25,20,2021-02-28T00:00:00.0000000
Gila Monster Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-115.510399,35.141689,9.95,16,2021-03-26T00:00:00.0000000
Pink Mug,NULL,Kitchenware,NULL,NULL,NULL,Group 3,-169.523895,16.736944,25,24,2021-05-08T00:00:00.0000000
Central Park-dirt,"Very good dirt. Solid, reliable.",Geological,New York City,New York,United States,Group 5,NULL,NULL,0,4,2007-03-21T00:00:00.0000000
Hollywood Bowl-dirt,Dry and depressing,Geological,Los Angeles,California,United States,Group 5,NULL,NULL,0,4,2009-08-01T00:00:00.0000000
Burham Park-dirt,Tastes rich in Oxygen,Geological,Chicago,Illinois,United States,Group 5,NULL,NULL,0,4,2010-03-11T00:00:00.0000000
Playa Tortugas-sand,Unimagineable feeling between the toes,Geological,Cancun,Quintana Roo,Mexico,Group 5,NULL,NULL,0,4,2015-12-25T00:00:00.0000000
Bukhansan National Park-dirt,High in phosphates,Geological,Seoul,Gyeonggi,South Korea,Group 5,NULL,NULL,0,4,2018-04-22T00:00:00.0000000
Wuhan Institute of Virology-dirt,"There's something fishy in here, got sick after tasting it…",Geological,Wuhan,Hubei,China,Group 5,NULL,NULL,0,4,2019-09-28T00:00:00.0000000
TEL AVIV BEACH-sand,Very soft,Geological,Tel Aviv,Tel Aviv,Israel,Group 5,NULL,NULL,0,4,2020-06-12T00:00:00.0000000
Bourscheid Neige Luges-dirt,Smallest dirt on earth. Pathetic,Geological,Luxembourg,Luxembourg,Luxembourg,Group 5,NULL,NULL,0,4,2020-08-20T00:00:00.0000000
Lagoon Beach-sand,It's coarse. Gets everywhere. I don't like it,Geological,Cape Town,Western Cape,South Africa,Group 5,NULL,NULL,0,4,2020-09-20T00:00:00.0000000
Champ de Mars-dirt,Tastes like they have never won a war,Geological,Paris,Ile-de-France,France,Group 5,NULL,NULL,0,4,2021-02-20T00:00:00.0000000
Playa del Carmen-sand,"Very soft, great color",Geological,Playa del Carmen,Quintana Roo,Mexico,Group 5,NULL,NULL,0,4,2021-07-20T00:00:00.0000000
Playa Punta Esmeralda-sand,"Medium coarseness, tons of shells",Geological,Playa del Carmen,Quintana Roo,Mexico,Group 5,NULL,NULL,0,4,2021-12-20T00:00:00.0000000
Hyde Park-dirt,Looks very rich. I got a worm in here!,Geological,London,London,England,Group 5,NULL,NULL,0,4,2021-02-20T00:00:00.0000000
National Park-dirt,BASIC,Geological,Nice,Alpes-Maritimes,France,Group 5,NULL,NULL,0,4,2021-01-20T00:00:00.0000000
Promenade des Anglais-sand,Neat.,Geological,Ulaanbaatar,Ulaanbaatar,Mongolia,Group 5,NULL,NULL,0,4,2021-03-20T00:00:00.0000000
Hikkaduwa Beach-sand,Lots of critters and life. Kinda stinky,Geological,Colombo,Western Province,Sri Lanka,Group 5,NULL,NULL,0,4,2017-08-20T00:00:00.0000000
Al Bustan Beach-sand,Very Nice,Geological,Muscat,Muscat,Oman,Group 5,NULL,NULL,0,4,2014-01-20T00:00:00.0000000
Palm Beach-sand,Exotic,Geological,Ambondrona,Diana,Madagascar,Group 5,NULL,NULL,0,4,2000-06-20T00:00:00.0000000
Parco delle fonti-dirt,Better dirt than expected,Geological,Meldola,Forlì-Cesena,Italy,Group 5,NULL,NULL,0,4,2004-09-20T00:00:00.0000000
Park Lenina-dirt,"Hints of nostalgia from the great days of the USSR; however, a bit stale",Geological,Makaryev,Kostroma Oblast,Russia,Group 5,NULL,NULL,0,4,2018-07-20T00:00:00.0000000
Quartz rock,Common white quartz found in Utah,Geological,Beaver,Utah,United States,Group 4,NULL,NULL,0,NULL,2020-06-01T00:00:00.0000000
NYC bronze ornament,Bronze NYC ornament bought from visitors center,Miscellaneous,New York City,New York,United States,Group 4,NULL,NULL,0,NULL,2019-12-30T00:00:00.0000000
Texas Pen,Souvenir shop item commemorating the second ammendment.,Tool,Dallas,Texas,United States,Group 4,NULL,NULL,0,NULL,2021-01-02T00:00:00.0000000
I Got Tipsy In Key West shot glass,Cute shot glass from Key West Florida,Kitchenware,Key West,Florida,United States,Group 4,NULL,NULL,0,NULL,2020-12-25T00:00:00.0000000
