"Souvenir Name","Souvenir Description","Category","Weight","City","Region","Country","Owner","Longitude","Latitude"
"Grizzly Bear Mug","","Kitchenware","12.00","","","","Group 3","-105.688103","40.343182"
"Snowy Mountain Mug","","Kitchenware","20.00","","","","Group 3","-105.688103","40.343182"
"Lobster Mug","","Kitchenware","16.00","","","","Group 3","-82.000000","38.000000"
"Sea Lion Mug","","Kitchenware","16.00","","","","Group 3","-153.433334","57.466667"
"Coral Reef Mug","","Kitchenware","20.00","","","","Group 3","-169.523895","16.736944"
"Ocean Life Mug","","Kitchenware","12.00","","","","Group 3","-171.733337","25.700001"
"Landscape Mug","","Kitchenware","16.00","","","","Group 3","-91.504852","38.865097"
"Bird Mug","","Kitchenware","24.00","","","","Group 3","-119.930984","39.198364"
"Dunes Mug","","Kitchenware","20.00","","","","Group 3","-106.171669","32.779720"
"Skier Mug","","Kitchenware","12.00","","","","Group 3","-110.821999","43.582767"
"Desert Mug","","Kitchenware","16.00","","","","Group 3","-115.510399","35.141689"
"Mountain City Mug","","Kitchenware","20.00","","","","Group 3","-105.688103","40.343182"
"Joshua Tree Mug","","Kitchenware","12.00","","","","Group 3","-115.900650","33.881866"
"River View Mug","","Kitchenware","20.00","","","","Group 3","-92.757652","35.985512"
"Hot Springs Mug","","Kitchenware","16.00","","","","Group 3","-93.042267","34.521530"
"Cave Bat Mug","","Kitchenware","12.00","","","","Group 3","-110.347382","31.837551"
"Cowboy Mug","","Kitchenware","12.00","","","","Group 3","-110.821999","43.582767"
"Buffalo Mug","","Kitchenware","20.00","","","","Group 3","-92.757652","35.985512"
"Gila Monster Mug","","Kitchenware","16.00","","","","Group 3","-115.510399","35.141689"
"Pink Mug","","Kitchenware","24.00","","","","Group 3","-169.523895","16.736944"
"Central Park-dirt","Very good dirt. Solid, reliable.","Geological","4.00","New York City","New York","United States","Group 5","",""
"Hollywood Bowl-dirt","Dry and depressing","Geological","4.00","Los Angeles","California","United States","Group 5","",""
"Burham Park-dirt","Tastes rich in Oxygen","Geological","4.00","Chicago","Illinois","United States","Group 5","",""
"Playa Tortugas-sand","Unimagineable feeling between the toes","Geological","4.00","Cancun","Quintana Roo","Mexico","Group 5","",""
"Bukhansan National Park-dirt","High in phosphates","Geological","4.00","Seoul","Gyeonggi","South Korea","Group 5","",""
"Wuhan Institute of Virology-dirt","There's something fishy in here, got sick after tasting it...","Geological","4.00","Wuhan","Hubei","China","Group 5","",""
"TEL AVIV BEACH-sand","Very soft","Geological","4.00","Tel Aviv","Tel Aviv","Israel","Group 5","",""
"Bourscheid Neige Luges-dirt","Smallest dirt on earth. Pathetic","Geological","4.00","Luxembourg","Luxembourg","Luxembourg","Group 5","",""
"Lagoon Beach-sand","It's coarse. Gets everywhere. I don't like it","Geological","4.00","Cape Town","Western Cape","South Africa","Group 5","",""
"Champ de Mars-dirt","Tastes like they have never won a war","Geological","4.00","Paris","Ile-de-France","France","Group 5","",""
"Playa del Carmen-sand","Very soft, great color","Geological","4.00","Playa del Carmen","Quintana Roo","Mexico","Group 5","",""
"Playa Punta Esmeralda-sand","Medium coarseness, tons of shells","Geological","4.00","Playa del Carmen","Quintana Roo","Mexico","Group 5","",""
"Hyde Park-dirt","Looks very rich. I got a worm in here!","Geological","4.00","London","London","England","Group 5","",""
"National Park-dirt","BASIC","Geological","4.00","Nice","Alpes-Maritimes","France","Group 5","",""
"Promenade des Anglais-sand","Neat.","Geological","4.00","Ulaanbaatar","Ulaanbaatar","Mongolia","Group 5","",""
"Hikkaduwa Beach-sand","Lots of critters and life. Kinda stinky","Geological","4.00","Colombo","Western Province","Sri Lanka","Group 5","",""
"Al Bustan Beach-sand","Very Nice","Geological","4.00","Muscat","Muscat","Oman","Group 5","",""
"Palm Beach-sand","Exotic","Geological","4.00","Ambondrona","Diana","Madagascar","Group 5","",""
